#arXiv:1409.5500 
#title:Search for pair and single production of new heavy quarks that decay to a $Z$ boson and a third-generation quark in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector 
#5500_ATLAS_20.3 fb-1 
#Energy 8000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig15-b 
#pp → T$\overline{b}$q →  Zt 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
400.0 0.8446909567415096 1.1212832418168572
450.0 0.5183763518709931 0.6063333664672697
500.0 0.43786781661408125 0.4969579495261172
550.0 0.3788895320381907 0.4880517111367333
600.0 0.3219984657300467 0.3881363730155541
650.0 0.2124302440813611 0.2837116606681622
700.0 0.20121249257368415 0.30683883800013495
750.0 0.16392499570812177 0.24847496335128044
800.0 0.16293982549250746 0.23253340973757888
900.0 0.13274479060866592 0.19760646025748557
950.0 0.13680663392595885 0.20988455451950375
1000.0 0.10557507705619572 0.169962372860409
1050.0 0.09301636715870175 0.1543355023134638
