#arXiv:1505.04306 
#title:Search for production of vector-like quark pairs and of four top quarks in the lepton-plus-jets final state in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector 
#04306_ATLAS_20.3 fb-1 
#Energy 8000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig18-a 
#pp → TT → Wb+X 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
350.0 0.4597158277982101 0.4440762275674996
400.0 0.15366987769925336 0.14139687524843628
450.0 0.0852243943069425 0.07266220811416017
550.0 0.04379278637313473 0.03411818359843334
650.0 0.027137906041912133 0.028291163025690163
700.0 0.018532066342168512 0.020707249885181158
750.0 0.02790139895614961 0.022349043810829108
850.0 0.02790139895614938 0.01840396654440932
950.0 0.02143801053757037 0.013377367160970375
1000.0 0.02313613865860921 0.014139687524843628
1100.0 0.0215872286318108 0.013011309349510568
