#arXiv:1505.04306 
#title:Search for production of vector-like quark pairs and of four top quarks in the lepton-plus-jets final state in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector 
#04306_ATLAS_20.3 fb-1 
#Energy 8000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig18-b 
#pp → TT → Ht+X, Wb+X, Singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
350.0 0.46432721277522027 0.42338178963930856
400.0 0.17789243114760095 0.22492659888140892
450.0 0.10665144457132536 0.12470043740149897
500.0 0.08803054871405183 0.08435578872060524
550.0 0.07582607814384984 0.06531362363028695
700.0 0.025744401010005896 0.03672854966523908
800.0 0.018831300882897483 0.026486737696075832
1000.0 0.011614587209677141 0.015765938519756273
1050.0 0.011450671080643484 0.015215552606118168
1100.0 0.01203471688609504 0.015433362939393649
