#arXiv:1803.09678 
#title:Search for pair production of up-type vector-like quarks and for four-top-quark events in final states with multiple $b$-jets with the ATLAS detector 
#09678_ATLAS_36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud \textit{et al.} [ATLAS] 
#Fig 17a 
#pp → TT→Zt, Ht, Doublet
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.026679304059516507 0.029271363505821723
800.0 0.016652387566325335 0.021323527981697635
900.0 0.013105381396580983 0.015897992284504787
950.0 0.010971561867027283 0.013727261047489836
1100.0 0.007992535312813588 0.010077567243340153
1150.0 0.007513441791560641 0.00932821737160372
1200.0 0.006691189901715642 0.008701563933188916
1300.0 0.005958923159704381 0.00793101660333306
1400.0 0.005558613053440597 0.007284774410135231
1500.0 0.005431244185581886 0.007398224685368898
