#arxiv:1806.10555
#tittle:Search for pair and single production of vectorlike quarks in final states with at least one Z boson decaying into a pair of electrons or muons in p p collision data collected with the ATLAS detector at $\sqrt{s}=$13 TeV
#10555_ATLAS_36.1 fb-1
#Energy 13000 GeV
#M.~Aaboud \textit{et al.}[ATLAS]
#Fig 13(a)
#pp$\rightarrow$$T\overline{T}$ Zt, Singlet
#Mass(GeV), obs(pb), exp(pb)
500 0.190414328 0.238915638
600 0.09262948 0.12395296
700 0.066097395 0.0787787
750 0.05773563 0.065218305
800 0.048531405 0.053377155
850 0.042604716 0.04546344
900 0.04312746 0.04191561
950 0.0393958656 0.0361671024
1000 0.0358202532 0.0316234248
1050 0.03416335 0.0302298842
1100 0.029550622 0.027337347
1150 0.028328272 0.02582279
1200 0.02502162 0.02367378
1300 0.0210371344 0.0216051984
1400 0.01818733 0.02036454

