#arxiv:1807.11883
#title:Search for new phenomena in events with same-charge leptons and b-jets in pp collisions at $\sqrt{s}=$13 TeV with the ATLAS detector
#11883_ATLAS_36.1fb-1
#Energy 13000 GeV
#M.~Aaboud \textit{et al.}[ATLAS]
#Fig 8(b)
#pp$\rightarrow$$T\overline{T}$Wb, Zt, Ht, Singlet
#Mass(GeV), obs(pb), exp(pb)
500 0.393263 0.224285
600 0.190645 0.130583
700 0.100021 0.084271
750 0.0803903 0.0732094
800 0.072258 0.0665439
850 0.0590314 0.0563824
900 0.0579778 0.054135
950 0.0512451 0.049515
1000 0.0499696 0.047946
1050 0.0483823 0.0466445
1100 0.0445534 0.0436938
1150 0.0432353 0.0420584
1200 0.0430296 0.0418571
1300 0.0413277 0.0404728
1400 0.043028 0.0422538

