#arXiv:1812.09743 
#title:Search for large missing transverse momentum in association with one top-quark in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#09743_ATLAS_36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud \textit{et al.} [ATLAS] 
#Fig 4c
#pp → Tbq→ Wb, Ht, Zt, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.5961539835264258 0.7933802608202204 
800.0 0.32053280435662024 0.32316093273494584 
900.0 0.21659415660499737 0.20289707112266694 
1000.0 0.13378607766443024 0.14050414603761935 
1100.0 0.07554455593296196 0.09971941997762221 
1200.0 0.051466400468477225 0.07019171359913462 
1300.0 0.043003485847867895 0.0572303763137526 
1400.0 0.03835787013286883 0.05104784644817295 
1500.0 0.03338907071316586 0.04443131221758006 
1600.0 0.033117531812951025 0.04335608214998623 
1700.0 0.03179260494120043 0.041962808931360396 
1800.0 0.030272472619271705 0.04028401072014959 
2000.0 0.029782088893993516 0.038357870132869024 
