#arXiv:1812.09743 
#title:Search for large missing transverse momentum in association with one top-quark in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#09743_ATLAS_36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud \textit{et al.} [ATLAS] 
#Fig 6a
#pp → Tbq→ Wb, Ht, Zt, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.6912299465240641 0.8294652406417111 
750.0 0.6838770053475935 0.7691711229946516 
800.0 0.6750534759358275 0.7103475935828871 
850.0 0.6574064171122995 0.6794652406417112 
900.0 0.6456417112299462 0.6529946524064176 
1000.0 0.6206417112299456 0.6618181818181805 
1100.0 0.5324064171122993 0.6044652406417115 
1200.0 0.5294652406417113 0.6250534759358284 
1300.0 0.5706417112299462 0.670641711229947 
1340.0 0.5953475935828878 0.7012299465240635 
1400.0 0.6441711229946527 0.7456417112299458 
1450.0 0.7132887700534754 0.8353475935828876 
1500.0 0.7882887700534744 0.9324064171122977 
