#arXiv:1812.09743 
#title:Search for large missing transverse momentum in association with one top-quark in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#09743_ATLAS_36.1 fb-1 
#Energy 13000 GeV 
#M.~Aaboud \textit{et al.} [ATLAS] 
#Fig 6b 
#pp → Tbq→ tZ 
#Mass(GeV), obs1(pb), obs2(pb) 
#mass (GeV) obseved1 (pb) observed2 (pb) 
700 0.534001743679163 0.9806887532693982
750 0.5339145597210113 0.9782693984306886
800 0.5323016564952047 0.9734306887532692
850 0.5073016564952052 0.9855274629468176
900 0.4839145597210113 0.9960113339145595
950 0.4782693984306887 0.9943984306887531
1000 0.4693984306887533 0.9927855274629467
1100 0.39601133391455956 1.000850043591979
1150 0.39439843068875313 0.9935919790758498
1200 0.39439843068875313 0.9879468177855273
1260 0.4148866608544025 0.9810156931124671
1300 0.4342414995640801 0.976700087183958
1350 0.45972101133391474 0.9613339145597208
1400 0.49117262423714014 0.944398430688753
1430 0.5510244115082825 0.9034437663469919
1460 0.6116608544027884 0.863273757628596
1500 0.6952048823016562 0.8081081081081078
1502 0.7605928509154314 0.7605928509154314

