#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#A.~Georges \textit{et al.} [ATLAS] 
#Fig8a 
#pp → TT→ Ht, k_T=0.1, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.172592338428766 0.22797810642411
1100.0 0.03282925170555424 0.04093404266763265
1200.0 0.029826241185936953 0.03683459793777367
1300.0 0.02012481729465456 0.023917972998990605
1400.0 0.017593571270546768 0.023017565513992835
1500.0 0.012338245539394428 0.01726124087071189
1600.0 0.018817773005452246 0.015984223604722597
1700.0 0.012338245539394428 0.013843578214249495
1800.0 0.0155325696155216 0.0167715528639028
1900.0 0.01424777657786268 0.01120831816251155
2000.0 0.020712412358056542 0.012820896436104456
2100.0 0.01863811467939013 0.012338245539394404
2200.0 0.01411174923342906 0.010481591492130583
2300.0 0.00771004411424575 0.009614595489150014
