#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#A.~Georges \textit{et al.} [ATLAS] 
#Fig8b 
#pp → TT→ Ht, k_T=0.3, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.14558631963371257 0.1814952436632975
1100.0 0.03910196490239973 0.05289373746757298
1200.0 0.03633153005079787 0.044196723150346076
1300.0 0.028438108655234516 0.03545237954150405
1400.0 0.02318719567173559 0.03188203977743762
1500.0 0.020852058572487495 0.027078469468321535
1600.0 0.024551098119753176 0.026858268689515765
1700.0 0.023957010549383435 0.025366194557577996
1800.0 0.03011087696068106 0.02843810865523448
2000.0 0.03942254711206766 0.02938225383971003
2100.0 0.03974575765392899 0.03136562174129414
2220.0 0.03662939851376108 0.03321059035596343
2300.0 0.03403414882518311 0.036929709087504904
