#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#A.~Georges \textit{et al.} [ATLAS] 
#Fig8c 
#pp → TT→ Ht, k_T=0.5, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.14785774749526856 0.18990954762355364
1100.0 0.05769575633095163 0.07636413044413194
1200.0 0.04447398463342721 0.057697416059342
1400.0 0.03586183038527063 0.049651198787665385
1500.0 0.03924288534254592 0.05040239248233593
1600.0 0.04699134656416925 0.05460495108333873
1800.0 0.058568659491868194 0.056835862857040446
1900.0 0.06671088341644028 0.06219613966385564
2000.0 0.07119609094011264 0.0680599944664324
2100.0 0.07373484641377537 0.0767473193440323
2200.0 0.08482801478096756 0.09098557941192965
2300.0 0.08741422868118288 0.09956370386922528
