#arXiv:2201.07045
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector 
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#A.~Georges \textit{et al.} [ATLAS] 
#Fig8f 
#pp → TT→ Ht, k_T=1.1, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.17349966123099153 0.23812370819088627
1100.0 0.11052723449572863 0.15315790034234214
1200.0 0.1038459802186604 0.1459852345362103
1300.0 0.08448814399881309 0.1222399869526819
1400.0 0.10484694592301642 0.13262490850068123
1500.0 0.09945858248908618 0.12223998695268165
1600.0 0.12107297122739331 0.1452867084582388
1700.0 0.011485070919338067 0.1384826650264961
1800.0 0.1137542383328187 0.1398174918348857
1900.0 0.11052723449572852 0.13390327271538685
2000.0 0.11595774887639478 0.14252586843649534
2100.0 0.11159260044340003 0.13716058170667134
2200.0 0.12165507972608039 0.1561246913224625
2300.0 0.11820394318091762 0.15612469132246332
