#arXiv:2201.07045 
#title:Search for single production of a vector-like T quark decaying into a Higgs boson and top quark with fully hadronic final states using the ATLAS detector  
#07045_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 9 
#pp → Tbq→ Wb, Ht, Zt, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.46310607467954656 0.527320577125518 
1030.0 0.3907858071707222 0.4507895225710592 
1070.0 0.30489194377360884 0.361737568889716 
1130.0 0.287633909220385 0.3434206452411894 
1200.0 0.32415629450739925 0.38310731314632473 
1250.0 0.3320515202179699 0.3836274691931367 
1300.0 0.32941977831444635 0.38941730138088637 
1400.0 0.3462629264969963 0.43889404916712427 
1500.0 0.39783887547216557 0.49362808842651673 
1570.0 0.497523066443742 0.5985757632051376 
1640.0 0.6298408570190104 0.7803641092327588 
1700.0 0.7662641649637743 0.9167874171775257 
1770.0 0.8480525109913921 1.0143662146262864 
1840.0 0.9466840052015602 1.1035234379837688 
1900.0 1.0315251718372653 1.1588952876339051 
1960.0 1.0911016161991458 1.2711065700662583 
2010.0 1.1547897702644123 1.3295250479905873 
2080.0 1.2344727227692112 1.41868227134807 
2140.0 1.3287881602576002 1.5372097343488749 
