#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~ Aad \textit{et al.} [CMS] 
#Fig 11a 
#pp → Tqt→Wb, Zt, Ht, singlet, k=0.2 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.12031122667645465 0.12914579393829712
1100.0 0.08367367280325477 0.10349304558391293
1200.0 0.10077919282819715 0.08367367280325486
1300.0 0.06192673350868666 0.07135532621430409
1400.0 0.04193924021461323 0.05141574457947452
1500.0 0.024654377162643527 0.033907691512367066
1600.0 0.016995343598743695 0.03301854498535542
1700.0 0.014619582214959332 0.02645993862499716
1800.0 0.016403740616333835 0.027172470402026995
1900.0 0.01326235224151074 0.022564535402152117
2000.0 0.012914579393829724 0.020651840221153773
2200.0 0.012687812106906714 0.019069437414839122
2300.0 0.012914579393829777 0.019239095245488755
