#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~ Aad\textit{et al.} [CMS] 
#Fig 11b 
#pp → Tqt→Wb, Zt, Ht, singlet, k=0.4 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.12760404236233053 0.14492819860130695
1100.0 0.10689105306925113 0.12619924023007312
1200.0 0.09783174887848475 0.1011353295926372
1300.0 0.06459387751850134 0.07840178870658426
1400.0 0.04634048624148116 0.062483921592299005
1500.0 0.03513729127130297 0.053217778340365285
1600.0 0.026642561138670917 0.0471164026890944
1700.0 0.023588012848824633 0.04433327524556143
1800.0 0.02332833070919723 0.04194607757279853
2000.0 0.02479282249440733 0.043362511956241214
2200.0 0.02784881629082929 0.04583032047653591
2310.0 0.02996265890793597 0.04769835782542143
