#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [CMS] 
#Fig 11c 
#pp → Tqt→Wb, Zt, Ht, singlet, k=0.6 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.13455420543693267 0.16696629692068896
1100.0 0.12735175166869755 0.15148084843540438
1200.0 0.10004535163472643 0.11801119364951111
1300.0 0.07161515279868767 0.09630660095370842
1400.0 0.05746273350919442 0.08340044392715484
1500.0 0.04872021792075306 0.07566539019533927
1600.0 0.03747667706709657 0.06664400318509571
1700.0 0.03428597530854456 0.06442554334225689
1800.0 0.03779521525359252 0.06148826724337645
1900.0 0.04010209389928578 0.06469876090454217
2000.0 0.040102093899285735 0.0701157455465357
2100.0 0.04148298849968821 0.0722238556689365
