#arXiv:2305.03401 
#title:Search for single production of vector-like T quarks decaying into Ht or Zt in $pp$ collision at $\sqrt{s}=$ 13 TeV with the ATLAS detector 
#03401_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [CMS] 
#Fig 13a 
#pp → Tqt→Wb, zt, Ht, singlet 
#Mass(GeV), obs(pb) 
1020.0 0.32622659273982646 
1100.0 0.3220525159535519 
1200.0 0.3715032953237787 
1300.0 0.3462286850088925 
1400.0 0.3220525159535512 
1500.0 0.30886075949367053 
1600.0 0.29677790563866546 
1700.0 0.3022701119363953 
1800.0 0.3462286850088927 
1900.0 0.38578303169787653 
1940.0 0.40512605921121514 
2000.0 0.433047389894341 
2100.0 0.524249398472642 
2140.0 0.5655612511769008 
