#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8b 
#pp → T→ Zt, Ht, doublet, k=0.3
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.023541252955460702 0.021435213796177487 
1100.0 0.01837746965387514 0.01718751271991026 
1200.0 0.015860826503273345 0.014154751705981381 
1300.0 0.012888444367152469 0.011198190973793438 
1400.0 0.011973484363493223 0.009994230774880911 
1500.0 0.011198837227718852 0.008625603161893165 
1600.0 0.010544051508015278 0.007801542004391725 
1700.0 0.009730167147249742 0.0070091307323897145 
1800.0 0.00999423077488093 0.006962366682036347 
1900.0 0.008919198194464933 0.0060496370989918495 
2000.0 0.009795521652003822 0.006468476504741182 
2100.0 0.009795521652003822 0.006339867778210796 
2200.0 0.009665248679640345 0.006339867778210796 
2400.0 0.008859690411060337 0.005929355897892628 
2600.0 0.008397700873789011 0.005734178102757224 
2690.0 0.008291757963402523 0.005586216901728957 
