#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8d 
#pp → T→ Zt, Ht, doublet, k=0.5 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.027618294125625553 0.024280623934036943 
1100.0 0.02100538803211426 0.018918290489882743 
1200.0 0.01891829048988278 0.01663201553181763 
1300.0 0.015975871803403614 0.013820871625600363 
1400.0 0.015100527757662605 0.012051451853939948 
1500.0 0.014622036848337709 0.010941745628628988 
1600.0 0.013710060462829457 0.009854572643568232 
1700.0 0.013491096355417393 0.009314624552282717 
1800.0 0.013382929221339624 0.008733671452542491 
1900.0 0.013063603550762474 0.009465803403670066 
2100.0 0.014388507517396915 0.009542310482874067 
2200.0 0.014388507517396915 0.009854572643568172 
2300.0 0.014622036848337665 0.00977556194997188 
2500.0 0.01462203684833768 0.009854572643568161 
