#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 8f 
#pp → T→ Zt, Ht, doublet, k=0.7 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1000.0 0.02637745414425286 0.022528886446388164 
1050.0 0.02252888644638814 0.019547710134205802 
1100.0 0.01939417155265153 0.016961023457606028 
1150.0 0.018497936645296847 0.01605016317533692 
1200.0 0.01778279410038923 0.015308460109164453 
1260.0 0.01617722811755246 0.013816910960569851 
1300.0 0.015551805709238663 0.012870310991463355 
1400.0 0.015551805709238678 0.012372736200681104 
1500.0 0.014716624850399701 0.011616318018651362 
1600.0 0.013282739984824 0.010158961514312323 
1700.0 0.013493884431044432 0.009843525822901936 
1780.0 0.013493884431044432 0.009843525822901936 
