#arXiv:2307.07584 
#title:Search for singly produced vector-like top partners in multilepton final states with 139 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#07584_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 9a 
#pp → T→ Wb, Zt, Ht, singlet 
#Mass(GeV), obs1(pb), obs2(pb)
#mass (GeV) obseved1 (pb) obseved2 (pb)
1000.0 0.2180154564012825 0.2180154564012825
1100.0 0.24342373869932943 0.24342373869932943 
1200.0 0.23152522601341485 0.23152522601341485
1300.0 0.2394502770487028 0.2394502770487028
1400.0 0.2585010207057449 0.2585010207057449
1500.0 0.28947214931466936 0.28947214931466936 
1600.0 0.34580781568970576 0.34580781568970576
1700.0 0.39898658501020756 0.39898658501020756
1800.0 0.4807305336832901 0.4807305336832901 
1875.0 0.5368620589093032 0.5368620589093032
1900.0 0.5656532516768745 0.5656532516768745 
1923.0 0.6000072907553223 0.6000072907553223 
