#arXiv:2402.16561 
#title:Search for invisible particles produced in association with single top quarks in proton–proton collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector  
#16561_ATLAS_139 fb-1 
#Energy 13000 GeV 
#G.~Aad \textit{et al.} [ATLAS] 
#Fig 9c 
#pp → Tqb→ Wb, zt, Ht, singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
1100.0 0.04994973740241683 0.03967743043555914
1300.0 0.026103124240231847 0.022078660939092717
1500.0 0.018097476221166104 0.0153072880343027
1700.0 0.01422601817320504 0.012416481730944557
1900.0 0.015147929293772995 0.012679102825441498
2100.0 0.014077916149270116 0.011907445811013464
2300.0 0.015147929293772995 0.012679102825441498
2400.0 0.014679738329399429 0.012416481730944428
2600.0 0.0146797383293994 0.012416481730944454
2700.0 0.015147929293772965 0.01267910282544147
