#ATLAS-CONF-2016-104 
#title:Search for new phenomena in $tar{t}$ final states with additional heavy-flavour jets in 13.2 fb$^{−1}$ of $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#2016-104_ATLAS_13.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration 
#Fig 16a  
#pp → Tar{T}→Ht+X, doublet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
600 0.10662996706497607 0.08604810365705454
700 0.06464108287947029 0.05178789941470822
750 0.05848266907244148 0.04553271947028596
800 0.049259225223543215 0.038904121717333984
850 0.038904121717333984 0.03347907559932788
900 0.03207292406015995 0.029228025248591236
950 0.02606792132774307 0.026824378574010595
1000 0.02409585907214623 0.025882163992714737
1050 0.020735774306085947 0.02409585907214623
1100 0.018626574854389056 0.022593840647424028
1200 0.016260072542073383 0.02118545073129531
1300 0.013501164738779724 0.02073577430608597
1400 0.01350116473877971 0.02088459579473472



