#arXiv:1209.0471 
#title:Search for pair produced fourth-generation up-type quarks in pp collisions at $\sqrt{s} =$ 7 TeV with a lepton in the final state 
#0471_CMS_4.9_5.0 fb-1 
#Energy 7000 GeV 
#S.~Chatrchyan \textit{et al.} [CMS] 
#Fig 6 lower
#pp → tt→bW→l$\mu$jetsbqqb 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
400.0 0.454655328172142 0.35953878482751783
425.0 0.2827366754495624 0.2658792727183326
450.0 0.23510594135847304 0.21024341169124455
475.0 0.30574614736910344 0.17978965658611842
500.0 0.2010508491950824 0.1589898402791215
525.0 0.15289030601911419 0.1344489948186608
550.0 0.13369972045076733 0.11691791137090504
575.0 0.12226369932206597 0.10513974031180155
600.0 0.10751650581828029 0.09041412172319235
625.0 0.08940918724844314 0.0822197667430888
