#arXiv:1311.7667  
#title:Inclusive search for a vector-like T quark with charge $2/3$ in $pp$ collisions at $\sqrt{s}=$8 TeV 
#7667_CMS_19.5 fb-1 
#Energy 8000 GeV 
#S.~Chatrchyan \textit{et al.} [CMS] 
#Fig 6  
#pp → TT→bW, tH, Zt  
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
500.0 0.11673038792192297 0.09246064844808616
600.0 0.06872623916216174 0.056793743174571205
700.0 0.05883529244901277 0.037971160228570215
800.0 0.044042406938727525 0.027052948367244756
900.0 0.030720574108115906 0.018344376158597304
1000.0 0.01373207213194692 0.013255577485101228
1100.0 0.01783335309436072 0.01167303879219232
1200.0 0.012527337426985074 0.00880003789411688
1300.0 0.012616133039861645 0.008615531771027914
1400.0 0.010279434056884917 0.0073236897980316394
1500.0 0.008676599929231886 0.008316577998488853

