#arXiv:1701.08328
#title:Search for single production of vector-like quarks decaying into a b quark and a W boson in proton-proton collisions at $\sqrt s =$ 13 TeV
#08328_CMS_2.3fb-1
#Energy 13000 GeV
#A.~M.~Sirunyan \textit{et al.} [CMS]
#Fig 5
#pp$\rightarrow$Tbq(Ybq)$\rightarrow$bW, $B(bW)=0.5$, $c^{bW}=0.5$                        
#Mass (GeV), obs (pb), exp(pb)
700 2.03 1.16
800 1.2 0.91
900 0.54 0.65
1000 0.26 0.49
1100 0.2 0.37
1200 0.18 0.28
1300 0.16 0.27
1400 0.13 0.26
1500 0.11 0.24
1600 0.1 0.21
1700 0.1 0.2
1800 0.11 0.19

