#arXiv:1706.03408 
#title:Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at  $\sqrt{s}=13$ TeV 
#04721_CMS_2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 11 right 
#pp → TT →tH 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.2677288657598779 0.22767010044587316
800.0 0.1447276374252139 0.15727265580088576
900.0 0.09200193171463025 0.11138609188234014
1000.0 0.06792580211352223 0.08292199862202768
1100.0 0.05848596084661424 0.06820871423485757
1200.0 0.05633857300610645 0.05472304192537627
1300.0 0.04871108279859641 0.043179762475836776
1400.0 0.04445451340129484 0.03795967973586798
1500.0 0.03908032362316281 0.03309441095122509
1600.0 0.03522337500129876 0.029336420421202592
1700.0 0.03148426844505199 0.02722229633697478
1800.0 0.02722229633697481 0.023832080685292818
