#arXiv:1706.03408 
#title:Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at  $\sqrt{s}=13$ TeV 
#04721_CMS_2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 12 left 
#pp → TT →bW, Zt, tH, Singlet 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.2586969025813548 0.30457925480576453
800.0 0.1539347545052158 0.22064816487413902
900.0 0.11628360885165684 0.1738056763902626
1000.0 0.10170368372225386 0.13463403604916757
1100.0 0.08821013801833195 0.11058604335820404
1200.0 0.08388809260273862 0.0908334426010711
1300.0 0.07779882664593274 0.07715013376956242
1400.0 0.0715499625348826 0.06552810253820758
1500.0 0.06580301219762345 0.05901644525718761
1600.0 0.05901644525718761 0.052708679731086554
1700.0 0.051616818071975386 0.04727259145198598
1800.0 0.04727259145198594 0.044209795051287706
