#arXiv:1805.04758 
#title:Search for vector-like T and B quark pairs in final states with leptons at $\sqrt{s} =$ 13 TeV 
#04758_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 upper row left 
#pp → TT →bW, Zt, tH, Singlet  
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
800.0 0.030077749230194767 0.030077749230194767
900.0 0.02074976483763921 0.023320362005773816
1000.0 0.014616336857319195 0.019572387935411956
1100.0 0.01361579416858584 0.01642709059009264
1200.0 0.011717110568513114 0.01455549701724274
1300.0 0.010645251807931924 0.012789751596296412
1400.0 0.010425536653893673 0.011145061814977856
1500.0 0.009834162157334405 0.009916544679044278
1600.0 0.00923772026681496 0.009199268674655424
1700.0 0.008934380950150067 0.00835757733980986
1800.0 0.008151009154469977 0.007720791605973369
