#arXiv:1805.04758 
#title:Search for vector-like T and B quark pairs in final states with leptons at $\sqrt{s} =$ 13 TeV 
#04758_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 upper row right 
#pp → TT → Zt, tH, Doublet  
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
800.0 0.020592861552882456 0.020680531033413076
900.0 0.014109541102969584 0.01529563935531264
1000.0 0.01004416776721704 0.012580510074264604
1100.0 0.008510586286518212 0.010842357364978846
1200.0 0.007492060206567083 0.009667386420539584
1300.0 0.007334598166227629 0.00880479750414548
1400.0 0.00721101466855522 0.008156608411899862
1500.0 0.007029532759138859 0.007460299657219826
1600.0 0.0068235684535725245 0.0068235684535725245
1700.0 0.006456939637583478 0.006429567200051293
1800.0 0.006321232921186386 0.006058316064570575
