#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 6 lower left
#pp → TT→bW 
#Mass(GeV) obs(pb) exp(ob)
700.0 0.3170652537362865 0.6728930414478518
800.0 0.233034096693414 0.31251470002115533
900.0 0.11329419192999367 0.148543859952167
1000.0 0.11791179523391548 0.10067689216382435
1100.0 0.06356338170820691 0.06404348675176993
1200.0 0.053146758151051514 0.045038234073747324
1300.0 0.04360269241970954 0.032269657284934986
1400.0 0.027717933903435476 0.01874244367117662
1500.0 0.020456621855935286 0.01447128577203829
1600.0 0.013367719298850955 0.009672404304703192
1700.0 0.012606212005665089 0.009471125689439074
1800.0 0.009196310509959135 0.0064084187368744685
