#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig10 lower row left 
#pp → Ttq → (tH+tZ)tq, Γ/m_T≤0.05 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.891957953199733 0.4699961221249
800.0 0.240320006360673 0.3586765388801311
847.0 0.20938364047436694 0.3252642500044526
850.0 0.6143256127016136 0.30028183231019184
1000.0 0.2451803038875453 0.18524498034198106
1100.0 0.2764773079036201 0.13048858914308767
1200.0 0.21634046204349788 0.09908486411473942
1400.0 0.10469365493064416 0.05828711173314568
1500.0 0.035867653888013 0.05015972469905957
1800.0 0.04470490169456732 0.03445971378334454
