#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig10 lower row right 
#pp → Ttq → (tH+tZ)tq, Γ/m_T=0.1 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.8730679283107646 0.5442618082961487
800.0 0.32755470558110455 0.5149800356975118
850.0 0.29178670662218054 0.45415619242453564
854.0 0.7212380036754257 0.4496125528878296
1000.0 0.4025348569376468 0.28028396546514267
1200.0 0.3162277660168383 0.13726334722933897
1400.0 0.11804630611191913 0.08513948216141866
1600.0 0.0639259007077664 0.060183297925411786
1800.0 0.07816513826452234 0.04657171925216083
2000.0 0.06265319625464388 0.0414862261197347
