#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig10 middle row left 
#pp → Ttq → tZtq, Γ/m_T≤0.05 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.6366730698461739 0.8142379824026056
738.0 0.507697749097318 0.80389996941028
740.0 1.071820762079238 0.6863944738313367
800.0 0.4955021150559481 0.36303199792624685
900.0 0.29873592192432424 0.25274748412098375
1000.0 0.2851715499598116 0.1703396982296256
1100.0 0.14888403541716544 0.11373984909567024
1200.0 0.1111301761029565 0.08067130813062244
1400.0 0.07630017796915489 0.046863206688019396
1500.0 0.024580463454515047 0.04002060184719013
1700.0 0.017843381616668916 0.030011217579207695
1800.0 0.03277857482910308 0.026232267672344576
