#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig10 upper row right 
#pp → Ttq → tHtq, Γ/m_T=0.1 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.581956176857343 0.3548250307471628
800.0 0.24250739857151135 0.27838276766133846
900.0 0.15141870874634375 0.22580484561067396
996.0 0.11932495038723132 0.19385413275610253
1000.0 0.25553610194806153 0.18756627127655695
1200.0 0.21327495986879497 0.0949948802221803
1400.0 0.08803236071512932 0.06370103379250185
1600.0 0.05959651448054152 0.04720425972174861
1800.0 0.08080761065568635 0.03774624489117495
2000.0 0.05045530212453759 0.034648438779809075
2200.0 0.03686199173237324 0.0356546343899684
2400.0 0.0714057618832402 0.03383398029587284
2600.0 0.07140576188323998 0.0366840316094249
