#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 lower row left 
#pp → Tbq → (tH+tZ)bq, Γ/m_T≤0.05 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
650.0 6.573576378347218 1.7158292259312762
660.0 2.594668328004099 1.5346730304326022
700.0 1.002095117908735 0.8188549709397631
800.0 0.2793110531554499 0.4867685058658138
900.0 0.22938638486915658 0.3631935772721294
980.0 0.2540197050737143 0.309313770250306
982.0 0.22844016649234064 0.27815889562223733
1000.0 0.15161562919221955 0.22479999908704726
1100.0 0.22367365473780018 0.15161959574815714
1200.0 0.19713842675544108 0.11485189357242906
1400.0 0.06623638833891132 0.06557087480687981
1500.0 0.031370632881564574 0.05750390274014409
1700.0 0.04377971996530004 0.041414442239845056
1800.0 0.03668798212201242 0.035235558697182146
