#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 lower row right 
#pp → Tbq → (tH+tZ)bq, Γ/m_T=0.1 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.9972600188429309 1.1597723235379278
800.0 0.41560158874291286 0.674611003762985
900.0 0.2946727244134874 0.4734175387941844
995.0 0.2898167243714838 0.41514059826450217
1000.0 0.46124419613491036 0.3764316830763713
1200.0 0.339181732476368 0.17501342404439105
1400.0 0.07887402319841286 0.10023457174059376
1600.0 0.04447255839798021 0.07106901209054528
1800.0 0.06142215886987337 0.05769960602279261
2000.0 0.052261493690870124 0.047589049321108565
