#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 middle row right 
#pp → Tbq→  tZbq, Γ/m_T=0.1 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 2.2728653360789033 3.695975499768595
800.0 0.5433250904276418 1.184964062464669
900.0 0.6321160429413047 0.8875793126541128
937.0 0.8023843881782106 0.8714431166023557
940.0 0.8516847764505849 0.7089206215206543
1000.0 0.5433250904276414 0.45641777532337113
1200.0 0.19269061274572796 0.20081162226301216
1400.0 0.10712244536555603 0.11266598778758347
1600.0 0.04145051019792515 0.07806031129901884
1800.0 0.0629223277975633 0.06093412200099726
2000.0 0.061495681890240156 0.05048789349259643
