#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig8 upper row left 
#pp → Tbq→  tHbq, Γ/m_T≤0.05 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
700.0 0.5225869946541294 0.24639771342216882
800.0 0.14338628237218815 0.18552085607345994
900.0 0.1013456653450144 0.14954591887345808
960.0 0.0977837416187885 0.13907608214419734
970.0 0.15670156676900568 0.1324358293537812
1100.0 0.17881714183791117 0.08386946151605422
1200.0 0.12907442611843986 0.061825606991288785
1500.0 0.02900154577687663 0.028849465827287084
1700.0 0.03008879095527015 0.020933999051898494
1800.0 0.021044352620993342 0.01904625480649222
2000.0 0.01576188906629588 0.015272426579168897
2200.0 0.021833288876171402 0.01263882563578615
2400.0 0.01904625480649218 0.011558179390196
2600.0 0.021604907973171654 0.009615491254960125
