#arXiv:1909.04721 
#title:Search for electroweak production of a vector-like T quark using fully hadronic final states 
#04721_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig9 upper row right 
#pp → Tbq → tHbq, Γ/m_T=0.3 
#Mass(GeV), obs(pb), exp(pb) 
#mass (GeV) obseved (pb) expected (pb) 
800.0 0.402011209997016 0.551499763270634
945.0 0.25264395584321253 0.41659570700752735
952.0 0.48206320991139723 0.3530578997926928
1000.0 0.37454282573129494 0.2782322215849914
1200.0 0.2325632915321392 0.13774411984591844
1400.0 0.058087884862376114 0.08197298362497202
1600.0 0.047870941475380915 0.056466502756643056
1800.0 0.054118890210225666 0.04502117783076475
2000.0 0.03522597528234529 0.03456738906917445
2200.0 0.037454282573129494 0.03205389315714601
2400.0 0.035225975282345404 0.02795480939872031
2600.0 0.03780939314197464 0.026666462978591047
