mass result channel_or_id theo_cross_section ratio observed_limit
750 0 2 0.295 4.706295268179062 0.062682
800 0 2 0.19 4.739572939533027 0.040088
850 0 2 0.132 3.9430056456671747 0.033477
900 0 2 0.09 3.510962003588983 0.025634
950 0 2 0.0624 2.659619810757821 0.023462
1000 0 2 0.0438 1.9801084990958406 0.02212
1050 0 2 0.031 1.6055521027553348 0.019308
1100 0 2 0.0223 1.3113018934493708 0.017006
1150 0 2 0.0161 1.0774275580539383 0.014943
1200 1 2 0.0117 0.8001094166723655 0.014623
1300 1 2 0.0063 0.43496271748135873 0.014484000000000002
1400 1 2 0.0035 0.264330488633789 0.013241
