mass result channel_or_id theo_cross_section ratio observed_limit width_to_mass_ratio
600.0 0 15 0.8745 9.84766246109357 0.08880279999999999 0.05
600.5 0 15 0.8728250000000001 9.853704674595466 0.08857836000000001 0.05
601.0 0 15 0.8711500000000001 9.859777585420092 0.08835392 0.05
601.5 0 15 0.8694750000000001 9.86588142809875 0.08812948 0.05
602.0 0 15 0.8678 9.872016439557958 0.08790504 0.05
602.5 0 15 0.866125 9.878182859150144 0.0876806 0.05
603.0 0 15 0.86445 9.884380928684726 0.08745616000000002 0.05
603.5 0 15 0.8627750000000001 9.890610892459762 0.08723172 0.05
604.0 0 15 0.8611000000000001 9.89687299729402 0.08700728 0.05
604.5 0 15 0.8594250000000001 9.90316749255959 0.08678284 0.05
605.0 0 15 0.85775 9.909494630214976 0.08655840000000001 0.05
605.5 0 15 0.856075 9.915854664838726 0.08633396000000002 0.05
606.0 0 15 0.8544 9.922247853663567 0.08610952000000001 0.05
606.5 0 15 0.8527250000000001 9.928674456611091 0.08588508 0.05
607.0 0 15 0.8510500000000001 9.935134736326978 0.08566064 0.05
607.5 0 15 0.8493750000000001 9.941628958216775 0.08543620000000002 0.05
608.0 0 15 0.8477 9.948157390482253 0.08521176 0.05
608.5 0 15 0.846025 9.954720304158315 0.08498732 0.05
609.0 0 15 0.84435 9.961317973150512 0.08476287999999998 0.05
609.5 0 15 0.8426750000000001 9.967950674273148 0.08453843999999999 0.05
610.0 0 15 0.8410000000000001 9.974618687287995 0.08431400000000001 0.05
610.5 0 15 0.8393250000000001 9.981322294943629 0.08408956000000001 0.05
611.0 0 15 0.83765 9.988061783015395 0.08386511999999999 0.05
611.5 0 15 0.835975 9.994837440346013 0.08364068000000001 0.05
612.0 0 15 0.8343 10.001649558886855 0.08341623999999999 0.05
612.5 0 15 0.8326250000000001 10.008498433739863 0.08319180000000001 0.05
613.0 0 15 0.8309500000000001 10.01538436320018 0.08296735999999999 0.05
613.5 0 15 0.8292750000000001 10.022307648799439 0.08274292 0.05
614.0 0 15 0.8276000000000001 10.029268595349794 0.08251848 0.05
614.5 0 15 0.825925 10.036267510988646 0.08229404 0.05
615.0 0 15 0.82425 10.043304707224111 0.0820696 0.05
615.5 0 15 0.8225750000000001 10.050380498981248 0.08184516 0.05
616.0 0 15 0.8209000000000001 10.057495204649015 0.08162072000000001 0.05
616.5 0 15 0.8192250000000001 10.064649146128055 0.08139628 0.05
617.0 0 15 0.8175500000000001 10.071842648879217 0.08117184000000001 0.05
617.5 0 15 0.815875 10.079076041972936 0.0809474 0.05
618.0 0 15 0.8142 10.086349658139394 0.08072296 0.05
618.5 0 15 0.812525 10.093663833819553 0.08049852 0.05
619.0 0 15 0.8108500000000001 10.101018909217023 0.08027408000000001 0.05
619.5 0 15 0.8091750000000001 10.10841522835081 0.08004964 0.05
620.0 0 15 0.8075000000000001 10.115853139108953 0.07982520000000001 0.05
620.5 0 15 0.805825 10.123332993303078 0.07960076 0.05
621.0 0 15 0.80415 10.13085514672386 0.07937632 0.05
621.5 0 15 0.802475 10.138419959197432 0.07915188000000001 0.05
622.0 0 15 0.8008000000000001 10.146027794642777 0.07892744 0.05
622.5 0 15 0.7991250000000001 10.15367902113007 0.07870300000000002 0.05
623.0 0 15 0.7974500000000001 10.161374010940058 0.07847856 0.05
623.5 0 15 0.7957750000000001 10.169113140624416 0.07825412000000002 0.05
624.0 0 15 0.7941 10.176896791067193 0.07802968 0.05
624.5 0 15 0.792425 10.184725347547285 0.07780524000000001 0.05
625.0 0 15 0.7907500000000001 10.192599199802013 0.0775808 0.05
625.5 0 15 0.7890750000000001 10.188827118700795 0.077445126 0.05
626.0 0 15 0.7874000000000001 10.185041797993861 0.077309452 0.05
626.5 0 15 0.785725 10.181243167854243 0.07717377799999998 0.05
627.0 0 15 0.78405 10.177431157963076 0.07703810400000001 0.05
627.5 0 15 0.782375 10.173605697505266 0.07690243000000001 0.05
628.0 0 15 0.7807000000000001 10.16976671516509 0.076766756 0.05
628.5 0 15 0.7790250000000001 10.165914139121774 0.07663108199999999 0.05
629.0 0 15 0.7773500000000001 10.16204789704501 0.076495408 0.05
629.5 0 15 0.7756750000000001 10.158167916090438 0.076359734 0.05
630.0 0 15 0.774 10.154274122895053 0.07622406000000001 0.05
630.5 0 15 0.772325 10.15036644357261 0.07608838600000001 0.05
631.0 0 15 0.7706500000000001 10.146444803708919 0.075952712 0.05
631.5 0 15 0.7689750000000001 10.142509128357139 0.075817038 0.05
632.0 0 15 0.7673000000000001 10.138559342033002 0.075681364 0.05
632.5 0 15 0.7656250000000001 10.134595368709984 0.07554569 0.05
633.0 0 15 0.76395 10.130617131814425 0.07541001600000001 0.05
633.5 0 15 0.762275 10.126624554220612 0.07527434200000001 0.05
634.0 0 15 0.7606 10.122617558245775 0.075138668 0.05
634.5 0 15 0.7589250000000001 10.11859606564506 0.075002994 0.05
635.0 0 15 0.7572500000000001 10.114559997606433 0.07486732 0.05
635.5 0 15 0.7555750000000001 10.110509274745535 0.07473164600000001 0.05
636.0 0 15 0.7539 10.106443817100471 0.07459597200000001 0.05
636.5 0 15 0.752225 10.102363544126561 0.07446029800000002 0.05
637.0 0 15 0.75055 10.098268374691004 0.074324624 0.05
637.5 0 15 0.7488750000000001 10.094158227067508 0.07418895 0.05
638.0 0 15 0.7472000000000001 10.090033018930859 0.074053276 0.05
638.5 0 15 0.7455250000000001 10.085892667351413 0.073917602 0.05
639.0 0 15 0.7438500000000001 10.08173708878955 0.073781928 0.05
639.5 0 15 0.742175 10.077566199090043 0.07364625400000002 0.05
640.0 0 15 0.7405 10.0733799134764 0.07351058 0.05
640.5 0 15 0.7388250000000001 10.069178146545088 0.07337490599999999 0.05
641.0 0 15 0.7371500000000001 10.064960812259747 0.073239232 0.05
641.5 0 15 0.7354750000000001 10.060727823945316 0.073103558 0.05
642.0 0 15 0.7338 10.056479094282082 0.072967884 0.05
642.5 0 15 0.7321250000000001 10.052214535299699 0.07283221000000001 0.05
643.0 0 15 0.73045 10.047934058371089 0.072696536 0.05
643.5 0 15 0.7287750000000001 10.043637574206327 0.07256086199999999 0.05
644.0 0 15 0.7271000000000001 10.039324992846412 0.072425188 0.05
644.5 0 15 0.7254250000000001 10.034996223657004 0.072289514 0.05
645.0 0 15 0.7237500000000001 10.030651175322063 0.07215384000000001 0.05
645.5 0 15 0.722075 10.026289755837436 0.07201816600000001 0.05
646.0 0 15 0.7204 10.021911872504365 0.071882492 0.05
646.5 0 15 0.7187250000000001 10.017517431922904 0.071746818 0.05
647.0 0 15 0.7170500000000001 10.013106339985297 0.071611144 0.05
647.5 0 15 0.7153750000000001 10.008678501869245 0.07147547 0.05
648.0 0 15 0.7137 10.004233822031114 0.071339796 0.05
648.5 0 15 0.7120250000000001 9.999772204199077 0.07120412200000001 0.05
649.0 0 15 0.71035 9.995293551366142 0.071068448 0.05
649.5 0 15 0.708675 9.990797765783135 0.070932774 0.05
650.0 0 15 0.7070000000000001 9.986284748951583 0.0707971 0.05
650.5 0 15 0.7053250000000001 9.96822914474608 0.070757302 0.05
651.0 0 15 0.7036500000000001 9.950153218077382 0.07071750399999999 0.05
651.5 0 15 0.7019750000000001 9.93205693461528 0.070677706 0.05
652.0 0 15 0.7003 9.913940259952206 0.070637908 0.05
652.5 0 15 0.698625 9.895803159602998 0.07059811 0.05
653.0 0 15 0.6969500000000001 9.877645599004694 0.070558312 0.05
653.5 0 15 0.6952750000000001 9.859467543516303 0.070518514 0.05
654.0 0 15 0.6936000000000001 9.841268958418597 0.070478716 0.05
654.5 0 15 0.6919250000000001 9.823049808913876 0.07043891799999999 0.05
655.0 0 15 0.69025 9.804810060125753 0.07039911999999998 0.05
655.5 0 15 0.688575 9.786549677098936 0.07035932199999999 0.05
656.0 0 15 0.6869000000000001 9.768268624798997 0.070319524 0.05
656.5 0 15 0.6852250000000001 9.74996686811215 0.07027972600000001 0.05
657.0 0 15 0.6835500000000001 9.731644371845029 0.07023992800000001 0.05
657.5 0 15 0.6818750000000001 9.71330110072446 0.07020013 0.05
658.0 0 15 0.6802 9.694937019397228 0.070160332 0.05
658.5 0 15 0.678525 9.676552092429873 0.070120534 0.05
659.0 0 15 0.6768500000000001 9.65814628430843 0.070080736 0.05
659.5 0 15 0.6751750000000001 9.639719559438227 0.07004093799999998 0.05
660.0 0 15 0.6735000000000001 9.621271882143635 0.07000114 0.05
660.5 0 15 0.6718250000000001 9.602803216667859 0.069961342 0.05
661.0 0 15 0.67015 9.584313527172684 0.069921544 0.05
661.5 0 15 0.668475 9.565802777738268 0.069881746 0.05
662.0 0 15 0.6668000000000001 9.547270932362883 0.069841948 0.05
662.5 0 15 0.6651250000000001 9.528717954962705 0.06980215000000001 0.05
663.0 0 15 0.6634500000000001 9.510143809371566 0.069762352 0.05
663.5 0 15 0.6617750000000001 9.491548459340718 0.069722554 0.05
664.0 0 15 0.6601000000000001 9.47293186853861 0.06968275600000001 0.05
664.5 0 15 0.658425 9.454294000550638 0.069642958 0.05
665.0 0 15 0.6567500000000001 9.435634818878913 0.06960316000000001 0.05
665.5 0 15 0.6550750000000001 9.416954286942026 0.069563362 0.05
666.0 0 15 0.6534000000000001 9.398252368074804 0.06952356399999998 0.05
666.5 0 15 0.6517250000000001 9.379529025528065 0.069483766 0.05
