#mT Tbq kappa
600.0 0.114 0.2
600.5 0.11404 0.2
601.0 0.11408 0.2
601.5 0.11412 0.2
602.0 0.11416 0.2
602.5 0.11420000000000001 0.2
603.0 0.11424000000000001 0.2
603.5 0.11428 0.2
604.0 0.11432 0.2
604.5 0.11436 0.2
605.0 0.1144 0.2
605.5 0.11444 0.2
606.0 0.11448 0.2
606.5 0.11452 0.2
607.0 0.11456000000000001 0.2
607.5 0.11460000000000001 0.2
608.0 0.11464 0.2
608.5 0.11468 0.2
609.0 0.11472 0.2
609.5 0.11476 0.2
610.0 0.1148 0.2
610.5 0.11484 0.2
611.0 0.11488 0.2
611.5 0.11492000000000001 0.2
612.0 0.11496 0.2
612.5 0.115 0.2
613.0 0.11504 0.2
613.5 0.11508 0.2
614.0 0.11512 0.2
614.5 0.11516 0.2
615.0 0.1152 0.2
615.5 0.11524 0.2
616.0 0.11528000000000001 0.2
616.5 0.11532 0.2
617.0 0.11536 0.2
617.5 0.1154 0.2
618.0 0.11544 0.2
618.5 0.11548 0.2
619.0 0.11552 0.2
619.5 0.11556 0.2
620.0 0.1156 0.2
620.5 0.11563999999999999 0.2
621.0 0.11568 0.2
621.5 0.11572 0.2
622.0 0.11576 0.2
622.5 0.1158 0.2
623.0 0.11584 0.2
623.5 0.11588 0.2
624.0 0.11592 0.2
624.5 0.11596 0.2
625.0 0.11599999999999999 0.2
625.5 0.11604 0.2
626.0 0.11608 0.2
626.5 0.11612 0.2
627.0 0.11616 0.2
627.5 0.1162 0.2
628.0 0.11624 0.2
628.5 0.11628 0.2
629.0 0.11631999999999999 0.2
629.5 0.11635999999999999 0.2
630.0 0.1164 0.2
630.5 0.11644 0.2
631.0 0.11648 0.2
631.5 0.11652 0.2
632.0 0.11656 0.2
632.5 0.1166 0.2
633.0 0.11664 0.2
633.5 0.11667999999999999 0.2
634.0 0.11671999999999999 0.2
634.5 0.11676 0.2
635.0 0.1168 0.2
635.5 0.11684 0.2
636.0 0.11688 0.2
636.5 0.11692 0.2
637.0 0.11696 0.2
637.5 0.11699999999999999 0.2
638.0 0.11703999999999999 0.2
638.5 0.11707999999999999 0.2
639.0 0.11712 0.2
639.5 0.11716 0.2
640.0 0.1172 0.2
