#arXiv:1806.10555
#title:Search for pair and single production of vectorlike quarks in final states with at least one Z boson decaying into a pair of electrons or muons in $pp$ collision data collected with the ATLAS detector at $\sqrt{s}=$13 TeV 
#Luminosity 36.1 fb-1
#Energy 13000 GeV 
#G.~Aad and al. ATLAS Collaborations 
#Fig 13f
#pp → BB→Zt
#Mass(GeV), obs(pb), exp(pb)
500 0.071713122 0.083433948
600 0.05094198	0.056533992
700 0.029099343 0.029663907
750 0.0249045785 0.0268560625
800 0.02195895	0.02119143
850 0.020368128 0.017757036
900 0.01872522	0.01684242
950 0.0154952304 0.0150302256
1000 0.0163458534 0.0150518262
1050 0.012647437 0.013196041
1100 0.0114701388 0.0133848837
1150 0.0118181728 0.01291864
1200 0.0107571672 0.013048776
1300 0.0086974022 0.0111717774
1400 0.008624385 0.011648735

