#arXiv:2210.15413
#title: Search for pair-production of vector-like quarks in $pp$ collision events at $\sqrt{s}=13$ TeV with at least one leptonically decaying $Z$ boson and a third-generation quark with the ATLAS detector 
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G.~Aad and al. ATLAS
#Fig 7e 
#pp → BB→Zb, singlet  
#Mass(GeV), obs(pb), exp(pb) 
800 0.0391613038441012 0.02865120269663785
900 0.027271830293654785 0.01995262314968881
1000 0.018992031790533357 0.013445328842997623
1100 0.013668293180829275 0.01050578651602421
1200 0.011983161944838332 0.008912509381337459
1300 0.01                 0.008208914159638262
1400 0.007813707376518101 0.0076862461003977455
1500 0.009210553176894828 0.007437527275659054
1600 0.008075006064040215 0.007316202445836991
1700 0.007437527275659054 0.007316202445836998

