#arXiv:2210.15413
#title: Search for pair-production of vector-like quarks in $pp$ collision events at $\sqrt{s}=13$ TeV with at least one leptonically decaying $Z$ boson and a third-generation quark with the ATLAS detector 
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G.~Aad and al. ATLAS
#Fig 7d 
#pp → BB→Zb, doublet  
#Mass(GeV), obs(pb), exp(pb) 
800 0.026139256659586697 0.01438449888287666
900 0.017402093740624902 0.00917077450674296
1000 0.01090420442967755 0.0062120233958267695
1100 0.007984645497739104 0.0048329302385717665
1200 0.006158482110660279 0.004135626917817718
1300 0.005550868030059816 0.0036007334849856238
1400 0.005647805074067569 0.003858923467029911
1500 0.005846787276937607 0.003994880193954183
1600 0.005550868030059816 0.003858923467029911
1700 0.00513483290743757 0.003960448414477281

