#arXiv:2210.15413
#title: Search for pair-production of vector-like quarks in $pp$ collision events at $\sqrt{s}=13$ TeV with at least one leptonically decaying $Z$ boson and a third-generation quark with the ATLAS detector 
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G.~Aad and al. ATLAS
#Fig 7f 
#pp → BB→Zb   
#Mass(GeV), obs(pb), exp(pb) 
800 0.016145581502618366 0.0074556106748143655
900 0.010393899744929554 0.00506638263613665
1000 0.006588581861506821 0.003390012833314499
1100 0.0046177405710691065 0.002688624806652944
1200 0.003662337713903373 0.0023036479376536945
1300 0.0029957810349864333 0.001989105041427497
1400 0.0031622776601683824 0.0021655612406317566
1500 0.0032115257563636603 0.002199286858606028
1600 0.002904606121598049 0.002099653600438446
1700 0.002773020116591064 0.0023036479376536945

