#arXiv:2308.02595 
#title:Search for single vector-like B quark production and decay via B→bH(bb) in $pp$ collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector
#luminosity 139 fb-1
#Energy 13000 GeV
#G.~Aad and al. ATLAS Collaborations
#Fig 9a
#pp→B→ bH, k, singlet, Γ_𝐵/𝑚_𝐵
#Mass_obs(GeV), Mass_exp(GeV), obs, exp
1000 1000 0.49166666666666636 0.5621794871794868
1100 1100 0.4294871794871793 0.44871794871794846
1200 1200 0.469230769230769 0.4096153846153844
1300 1300 0.6282051282051277 0.4275641025641024
1400 1400 0.6589743589743585 0.4775641025641023
1500 1500 0.5717948717948715 0.5076923076923074
1600 1600 0.5320512820512817 0.556410256410256
1700 1700 0.636538461538461 0.6749999999999993
1800 1780 0.6493589743589739 0.7192307692307687
1900 NaN 0.6499999999999996 NaN
1920 NaN 0.658333333333333 NaN

