#arXiv:2308.02595 
#title:Search for single vector-like B quark production and decay via B→bH(bb) in $pp$ collisions at $\sqrt{s}=$ 13 TeV with the ATLAS detector
#luminosity 139 fb-1
#Energy 13000 GeV
#G.~Aad and al. ATLAS Collaborations
#Fig 9b
#pp→B→ bH, k, doublet, Γ_𝐵/𝑚_𝐵
#Mass_obs(GeV), obs, exp
1000 0.33750000000000024 0.3826388888888891
1100 0.3034722222222225 0.31527777777777777
1200 0.30277777777777803 0.28125
1300 0.4166666666666671 0.3020833333333336
1400 0.4173611111111114 0.3138888888888891
1500 0.40486111111111156 0.3715277777777781
1600 0.3270833333333337 0.3611111111111116
1700 0.4166666666666671 0.4513888888888894
1800 0.35069444444444475 0.45277777777777817
1900 0.4416666666666671 0.5208333333333338
2000 0.48680555555555605 0.5784722222222227

