#arXiv:1701.07409
#title:Search for single production of vector-like quarks decaying to a Z boson and a top or a bottom quark in proton-proton collisions at $\sqrt{s}=13$ TeV 
#luminosity 2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig 5 left 
#pp → Bt→ Zb, singlet, C(Wt)=0.5
#Mass(GeV), obs(pb), exp(pb)
700 0.7075236032164139 0.6022721013665419
800 0.2823431151551064 0.41113991078406426
900 0.1904551611494081 0.33366915550634796
1000 0.15182634958570063 0.25664122812420265
1100 0.17729833746196927 0.2535975641305668
1200 0.19739529077282653 0.23891220797594268
1300 0.19857632137867973 0.2250772530707451
1400 0.16505039966923482 0.24761809802357107
1500 0.1660379084023687 0.2277786178622667
1600 0.1660379084023687 0.22914143415844607
1700 0.16903602623952832 0.2277786178622667



