#arXiv:1701.07409
#title:Search for single production of vector-like quarks decaying to a Z boson and a top or a bottom quark in proton-proton collisions at $\sqrt{s}=13$ TeV 
#luminosity 2.3 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig 5 right 
#pp → Bb→ Zb, singlet, C(bZ)=0.5
#Mass(GeV), obs(pb), exp(pb)
700 1.2730302092807213 1.0314326151715807
800 0.580017183660134 0.8356857770412037
900 0.39516110714498437 0.640400427119728
1000 0.28464337178449034 0.46994064730407714
1100 0.28288694346259696 0.44173447031400687
1200 0.34914895994351136 0.4101127070551302
1300 0.38549744623988774 0.4472369060624254
1400 0.2972475471559784 0.40758205415664817
1500 0.2759689461023487 0.34914895994351136
1600 0.2917788198935216 0.4101127070551302
1700 0.29359045735093353 0.4000834049244476


