#arXiv:1706.03408
#title:Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at  $\sqrt{s}=13$ TeV 
#luminosity 2.6 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig 13 left 
#pp → BB → Wt, Zb, Hb, singlet
#Mass(GeV), obs(pb), exp(pb)
700 0.4389770953051217 0.4302500507558435
800 0.24520814037863908 0.31202259649531927
900 0.16410290875381753 0.22933224171188124
1000 0.130701047960937 0.17782794100389246
1100 0.11742685834509298 0.13789067060798518
1200 0.10982410543092097 0.11130421932675227
1300 0.09352554175312337 0.09105469114237412
1400 0.08515939318253854 0.07806239300597934
1500 0.07858666107290005 0.06692392369209979
1600 0.06782586620309577 0.05932746802784287
1700 0.057374766387227466 0.054020442775342965
1800 0.05330208359278554 0.052593277088596825

