#arXiv:1706.03408
#title:Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at  $\sqrt{s}=13$ TeV 
#luminosity 2.6 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig 13 right 
#pp → BB → Zb, Hb, doublet
#Mass(GeV), obs(pb), exp(pb)
700 1.058583876121315 0.9152473108773874
800 0.6261859179372963 0.6713099386829804
900 0.34551072945922146 0.5448334162160634
1000 0.3083265965550793 0.44781527272956856
1100 0.30638234528292607 0.36575208723244457
1200 0.3044503541046201 0.3044503541046195
1300 0.28578797819850416 0.2632265370514577
1400 0.2682695795279722 0.2290288064811304
1500 0.25182503390722294 0.20309176209047347
1600 0.22758459260747863 0.1835423397751784
1700 0.20567751342542903 0.16692733984878627
1800 0.19306977288832614 0.1637893706954063

