#arXiv:1802.01486
#title:Search for single production of vector-like quarks decaying to a b quark and a Higgs boson 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 upper left 
#pp → Bbq → Hbbq  , Γ/M= 1% 
#Mass(GeV), obs(pb), exp(pb) 
700 1.2075261699758901 1.1490656115802527
800 0.887719708898587 0.6790418666262681
900 0.470342034169864 0.295003783672331
1000 0.385662042116348 0.18873918221351016
1100 0.2147318925151288 0.11377176164312018
1200 0.1709065158802397 0.10200481902173977
1300 0.09421887862305461 0.08877197088985889
1400 0.0772557893955031 0.08199608244604951
1500 0.06461670787466983 0.06995642156712627
1600 0.07351556686480054 0.07573739175895032
1700 0.0764928231084078 0.07351556686480054
1800 0.07424883695230979 0.07278953843983169

