#arXiv:1802.01486
#title:Search for single production of vector-like quarks decaying to a b quark and a Higgs boson 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 upper right 
#pp → Bbq → Hbbq  , Γ/M= 10% 
#Mass(GeV), obs(pb), exp(pb) 
700 2.011031176564936 1.3973305213983935
800 1.2915496650148828 0.7896522868499725
900 0.6614740641230139 0.3738088443841843
1000 0.5433037905377768 0.2728333376486767
1100 0.28942661247167517 0.15117750706156616
1200 0.2240925148382426 0.1453426794737347
1300 0.15117750706156616 0.1343399332598904
1400 0.101987514655932 0.10299603658099889
1500 0.10401453145693935 0.10401453145693894
1600 0.09242978989125272 0.09614041288201973
1700 0.09805121767832373 0.09902081482108871
1800 0.08133105582266928 0.08627747685955849

