#arXiv:1805.04758 
#title:Search for vector-like T and B quark pairs in final states with leptons at $\sqrt{s} =$ 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 lower row left 
#pp → BB → Zb, Hb, Wt,  singlet  
#Mass(GeV), obs(pb), exp(pb) 
800 0.04080733704412155 0.0349642455095314
900 0.026886248066529467 0.02647395290480231
1000 0.020674558382731353 0.02165561240631761
1100 0.015897992284504787 0.019737948588157708
1200 0.014490181504862023 0.017442580591096633
1300 0.013621602035512746 0.01517777301732273
1400 0.012224984640507856 0.013207036227366352
1500 0.01185292409844703 0.01185292409844703
1600 0.010474522360006353 0.010474522360006353
1700 0.010155736154404212 0.009846652027941261
1800 0.009770862143786247 0.00918517104991783


