#arXiv:1805.04758 
#title:Search for vector-like T and B quark pairs in final states with leptons at $\sqrt{s} =$ 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 lower row right 
#pp → BB → Zb, Hb,  doublet  
#Mass(GeV), obs(pb), exp(pb) 
800 0.09926470854973059 0.1007407380337
900 0.08013941241504921 0.08315182680000491
1000 0.06663738540990342 0.07780824881744396
1100 0.057493054776844466 0.07280806468147137
1200 0.05623413251903485 0.06713099386829803
1300 0.05223345074266848 0.064698980292798
1400 0.05223345074266832 0.06054123584037269
1500 0.055002776812652254 0.05749305477684452
1600 0.052233450742668434 0.052233450742668434
1700 0.052620363778633335 0.05108969774506935
1800 0.048876777436944865 0.047806525330073756


