#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 5 lower right
#pp → BB→tW
#Mass(GeV), obs(pb), exp(pb)
700 1.5264179671752303 1.5026946780037802
800 1.2067926406393263 1.1695726687403367
900 1.411431689328738 1.197378049998669
1000 2.0555363918509193 1.5505157798326221
1100 3.1376076807037876 2.0555363918509193
1200 3.9686194433834348 3.0408373941001385
1300 5.870937850692403 4.359691735448472
1400 9.540954763499935 6.250551925273963
1500 13.894954943731346 9.392671112695496
1600 20.55536391850919 13.051074191219115
1700 23.117750817470867 18.858632787726478
1800 41.27112035609226 29.470517025518067

