#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 5 middle right
#pp → BB→bH
#Mass(GeV), obs(pb), exp(pb)
700 0.6105402296585339 0.5302611335911993
800 0.6654711796333934 0.7662204546142335
900 0.8221782550650886 1.151395399326448
1000 1.1424129809845123 1.514509873088844
1200 3.288567819970273 3.39322177189533
1400 10.31823565045407 8.157641691281823
1500 17.16697906607862 13.679002274644018
1600 25.197679300473563 19.306977288832517
1700 37.864418582867756 29.470517025518188
1800 61.05402296585314 46.41588833612773
