#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 5 upper right
#pp → BB→bZ 
#Mass(GeV), obs(pb), exp(pb)
700 0.25995227168436574 0.22998638539612062
800 0.3188203977743756 0.30606636301109724
1000 0.7453159674382277 0.5833879397552116
1100 1.1967796184265058 0.9215926598430312
1200 1.7710342103215835 1.363803413287745
1300 3.294052347239973 2.0514301665692165
1400 4.795689579154604 3.294052347239973
1500 8.355757272293562 5.646418314067566
1600 10.331999991955078 7.575871926473297
1700 19.533503372283345 11.967796184265058
1800 22.259619200077193 17.710342103215872
 
