#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 6 lower right
#pp → BB→Wt
#Mass(GeV), obs(pb), exp(pb)
700 0.3290344562312671 0.6309573444801942
800 0.4666223292703074 0.7634113643539107
900 0.5132687549978106 0.8599689256658398
1000 0.6723357536499349 1.1264816923358891
1100 0.6513180342367714 1.1721022975334818
1200 0.8947962141223886 1.7433288221999872
1300 1.418156428402554 2.0760670674616457
1400 2.21221629107045 2.9913144504086944
1500 4.275968357727388 4.9722358914499925
1600 7.454418880841279 7.164277737482052
1700 6.21016941891561 7.051408292993668
1800 12.689610031679221 12.689610031679234

