#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 6 middle right
#pp → BB→bH
#Mass(GeV), obs(pb), exp(pb)
700 1.1894397982549367 0.8540963173770412
800 1.0992485221306085 0.9241733156594824
900 1.3387895961756953 1.1344739305714941
1000 1.5799019567821824 1.26689238593248
1100 2.033382951980814 1.5799019567821824
1200 3.1127961807053355 2.2707241745534823
1300 3.761338902136771 2.6377454144252885
1400 5.4919430794435655 3.476129044506733
1500 9.097123897530997 5.238151826559172
1600 11.52507699966644 7.528567156644912
1700 10.00000000000001 7.068301537985341
1800 14.716624850399656 10.992485221306096
