#arXiv:1906.11903 
#title:Search for pair production of vectorlike quarks in the fully hadronic final state 
#11903_CMS_35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan \textit{et al.} [CMS] 
#Fig 6 upper right
#pp → BB→bZ
#Mass(GeV), obs(pb), exp(pb)
700 0.838708628729072 0.9531618832347862
800 1.2310559109968429 1.1184359317505297
900 1.260940065769415 1.2710617996147433
1000 1.7500705457702017 1.589969849462567
1100 2.296736176338629 1.9262924490094318
1200 3.2132494689970503 2.7384196342643556
1300 4.7924275438848625 3.2132494689970503
1400 6.598488200835599 4.216965034285814
1500 10.49139729136308 6.704847260752338
1600 12.915496650148814 9.380418666398135
1700 11.923091831251755 8.659643233600645
1800 20.209499381910767 14.677992676220676


